Home,Away,Home_Score,Away_Score,Tournament
North Carolina A&T,Elon,80,71,
Monmouth,Hofstra,57,77,
Southern Illinois,Indiana State,69,61,
New Hampshire,Maine,71,58,
La Salle,UMass,78,77,
Lafayette,Navy,59,50,
Binghamton,NJIT,72,71,
Indiana,Penn State,66,85,
Gardner-Webb,Presbyterian,79,78,
St. Bonaventure,Rhode Island,67,68,
Campbell,USC Upstate,78,63,
Virginia Tech,Syracuse,72,82,
Abilene Christian,Texas-Rio Grande Valley,86,103,
UNC Greensboro,VMI,72,57,
Baylor,West Virginia,83,78,
Hampton,William & Mary,65,81,
Evansville,Bradley,46,91,
George Mason,Saint Louis,62,63,
Wofford,Samford,58,83,
Tulane,SMU,97,88,
East Carolina,Cincinnati,55,83,
Louisville,Clemson,70,83,
Rutgers,Northwestern,65,62,
UTSA,UTEP,57,69,
Florida State,Wake Forest,75,90,
UCSB,Cal State Bakersfield,60,48,
UC-Davis,Cal State Northridge,62,54,
Cal State Fullerton,UC-Irvine,65,70,
UC-Riverside,UC-San Diego,74,68,
Boise State,UNLV,84,66,
California,Washington State,51,66,
Utah,UCLA,49,68,
Gonzaga,BYU,75,74,
Arizona,Oregon State,86,74,
Longwood,UNC Asheville,46,54,
Cal Poly,Long Beach State,58,77,
Southern Miss,Marshall,67,89,
Coastal Carolina,Old Dominion,67,66,
Lipscomb,Austin Peay,87,65,
North Florida,Jacksonville State,63,72,
James Madison,South Alabama,62,63,
Sam Houston,Southern Utah,74,86,
Loyola Marymount,Saint Mary's,62,76,
Georgia Southern,Appalachian State,67,65,
Stetson,Bellarmine,80,51,
Minnesota,Ohio State,70,67,
Youngstown State,Detroit Mercy,84,79,
Florida Gulf Coast,Eastern Kentucky,76,97,
Troy,Georgia State,65,53,
Michigan,Iowa,84,93,
Purdue Fort Wayne,IUPUI,70,55,
Jacksonville,Kennesaw State,68,81,
North Alabama,Liberty,54,72,
Louisiana,Louisiana-Monroe,86,73,
Robert Morris,Oakland,65,69,
Central Arkansas,Queens (NC),92,91,
Drexel,Stony Brook,66,67,
Texas State,Arkansas State,61,58,
SIU-Edwardsville,Eastern Illinois,80,62,
Wright State,Green Bay,99,67,
Texas A&M-Commerce,Houston Christian,59,68,
New Orleans,Incarnate Word,85,79,
Nicholls State,Lamar,66,69,
Northern Kentucky,Milwaukee,75,80,
St. Thomas,Kansas City,60,81,
North Dakota,Omaha,63,69,
Western Illinois,Oral Roberts,63,87,
Lindenwood,Southeast Missouri State,71,94,
Little Rock,Southern Indiana,67,74,
Morehead State,Tennessee Tech,62,79,
Southeastern Louisiana,Texas A&M-Corpus Christi,85,82,
North Dakota State,Denver,90,70,
Stephen F. Austin,Utah Tech,85,72,
UT Arlington,Grand Canyon,48,80,
Weber State,Montana,59,57,
Idaho State,Montana State,68,81,
McNeese State,Northwestern State,75,89,
Arizona State,Oregon,90,73,
Colorado,USC,61,68,
UT-Martin,Tennessee State,77,66,
Northern Arizona,Portland State,74,75,
Northern Colorado,Sacramento State,64,72,
Pepperdine,San Diego,89,92,
New Mexico State,Seattle,66,69,
San Francisco,Portland,87,92,
Stanford,Washington,69,86,
Nebraska,Purdue,55,73,
Yale,Cornell,82,94,
Siena,Niagara,70,64,
Villanova,Butler,71,79,
Marist,Canisius,76,58,
Fairfield,Iona,69,75,
Manhattan,Mount St. Mary's,62,57,
St. Peter's,Quinnipiac,51,58,
VCU,Dayton,63,62,
Michigan State,Illinois,66,75,
Utah State,Nevada,70,85,
Eastern Michigan,Akron,67,104,
Kent State,Ohio,70,65,
Iowa State,Kansas,60,62,
LSU,Alabama,66,106,
Kentucky,Tennessee,63,56,
Colorado,UCLA,54,68,
Portland,Gonzaga,75,115,
Arizona,Oregon,68,87,
Texas Tech,Texas,70,72,
Kansas State,TCU,68,82,
Virginia,Florida State,67,58,
Arkansas,Vanderbilt,84,97,
Miami (FL),NC State,81,83,
Wisconsin,Indiana,45,63,
Providence,Creighton,67,73,
Missouri,Florida,64,73,
Mississippi State,Auburn,63,69,
Elon,College of Charleston,60,78,
New Mexico,San Diego State,76,67,
Duke,Clemson,64,72,
Mississippi Valley State,Bethune-Cookman,71,77,
Buffalo,Central Michigan,78,87,
UTSA,Charlotte,54,72,
Western Carolina,The Citadel,61,65,
Arkansas-Pine Bluff,Florida A&M,67,54,
UNC Asheville,Gardner-Webb,72,67,
Georgia Southern,James Madison,71,83,
Holy Cross,Lafayette,48,62,
USC Upstate,Longwood,65,72,
Old Dominion,Marshall,65,73,
Bryant,New Hampshire,87,81,
Stony Brook,North Carolina A&T,59,61,
Sacred Heart,St. Francis (NY),79,82,
Merrimack,Stonehill,59,47,
Northern Iowa,Belmont,72,76,
Bradley,Drake,61,86,
Valparaiso,Evansville,76,69,
Austin Peay,Lipscomb,72,86,
UIC,Murray State,64,81,
UTEP,Rice,82,83,
Illinois State,Southern Illinois,57,69,
Abilene Christian,Tarleton State,63,72,
Alcorn State,Texas Southern,79,74,
Florida International,Western Kentucky,59,70,
UT Arlington,New Mexico State,66,55,
Stephen F. Austin,Southern Utah,58,67,
Boise State,Wyoming,85,68,
Grand Canyon,California Baptist,74,79,
Idaho,Eastern Washington,74,95,
San Diego,Loyola Marymount,84,98,
Arizona State,Oregon State,74,69,
Santa Clara,Pacific,92,81,
Saint Mary's,San Francisco,78,61,
Seton Hall,DePaul,71,67,
Davidson,George Mason,65,67,
Cleveland State,IUPUI,89,54,
Drexel,Northeastern,76,55,
West Virginia,Oklahoma,76,77,
Army,Boston University,83,74,
FDU,Central Connecticut,88,80,
Robert Morris,Detroit Mercy,75,87,
Columbia,Harvard,51,73,
Maine,UMBC,77,85,
Georgia,Ole Miss,62,58,
North Dakota State,Omaha,78,65,
North Alabama,Queens (NC),78,107,
Loyola (IL),St. Joseph's,55,86,
Bowling Green State,Western Michigan,92,108,
Miami (OH),Ball State,61,75,
UMass-Lowell,Binghamton,65,66,
Princeton,Brown,70,72,
Winthrop,Campbell,78,74,
Bucknell,Colgate,65,71,
Penn,Dartmouth,71,75,
North Texas,Florida Atlantic,62,66,
Coastal Carolina,Georgia State,66,100,
Delaware,Hofstra,62,86,
North Florida,Kennesaw State,72,86,
American,Lehigh,62,78,
UNC,Louisville,80,59,
Charleston Southern,Radford,70,75,
Richmond,St. Bonaventure,63,71,
UCF,Tulane,69,77,
Southern Miss,Arkansas State,74,57,
North Dakota,Denver,71,78,
Stetson,Eastern Kentucky,70,85,
Pitt,Georgia Tech,71,60,
Fordham,La Salle,66,64,
Texas State,Louisiana-Monroe,58,61,
Southeast Missouri State,Morehead State,91,86,
Toledo,Northern Illinois,84,67,
Youngstown State,Oakland,85,69,
Monmouth,Towson,48,68,
Troy,Appalachian State,45,58,
Florida Gulf Coast,Bellarmine,41,61,
UC-Irvine,Cal State Northridge,71,57,
Morgan State,Coppin State,83,66,
Mercer,ETSU,68,55,
Little Rock,Eastern Illinois,63,70,
UNC Greensboro,Furman,88,80,
Saint Louis,George Washington,81,74,
UAB,Louisiana Tech,81,74,
Delaware State,Maryland-Eastern Shore,66,68,
Rhode Island,UMass,65,75,
Houston Christian,McNeese State,90,81,
Northwestern State,Nicholls State,63,77,
Howard,Norfolk State,86,84,
South Carolina State,North Carolina Central,67,71,
LIU,Saint Francis (PA),68,87,
Louisiana,South Alabama,79,76,
Cincinnati,SMU,54,52,
Tennessee State,Tennessee Tech,63,71,
New Orleans,Texas A&M-Corpus Christi,79,97,
Tulsa,Wichita State,69,73,
UC-San Diego,Cal State Bakersfield,52,56,
Cal State Fullerton,UC-Davis,79,83,
Southeastern Louisiana,Incarnate Word,75,71,
Jacksonville,Jacksonville State,68,62,
Navy,Loyola (MD),67,69,
Northern Arizona,Sacramento State,56,59,
Lamar,Texas A&M-Commerce,66,81,
Oklahoma State,Baylor,58,74,
Chattanooga,Samford,74,75,
Grambling,Southern,73,81,
Lindenwood,SIU-Edwardsville,58,68,
California,Washington,78,81,
Air Force,Fresno State,51,48,
Presbyterian,High Point,56,64,
Central Arkansas,Liberty,62,82,
Wright State,Milwaukee,78,74,
Colorado State,UNLV,82,81,
Albany (NY),NJIT,67,74,
William & Mary,UNC Wilmington,69,67,
Texas A&M,South Carolina,94,53,
South Dakota State,South Dakota,82,64,
Notre Dame,Syracuse,73,78,
Chicago State,Texas-Rio Grande Valley,82,85,
VMI,Wofford,67,86,
Wake Forest,Boston College,85,63,
Northern Kentucky,Green Bay,74,53,
Western Illinois,Kansas City,60,52,
St. Thomas,Oral Roberts,69,81,
UT-Martin,Southern Indiana,66,80,
Seattle,Utah Valley,85,80,
Stanford,Washington State,59,60,
Pepperdine,BYU,81,91,
Sam Houston,Utah Tech,78,53,
Idaho State,Montana,55,84,
Weber State,Montana State,52,67,
Jackson State,Prairie View,50,59,
UC-Riverside,UCSB,65,64,
Northern Colorado,Portland State,69,67,
Utah,USC,56,71,
St. John's (NY),UConn,85,74,
Marquette,Xavier,76,80,
Long Beach State,Hawaii,70,79,
Northwestern,Michigan,78,85,
Indiana State,Missouri State,62,64,
Ohio State,Rutgers,64,68,
Siena,Canisius,62,66,
South Florida,East Carolina,81,70,
Rider,Iona,70,67,
Marist,Niagara,66,64,
Maryland,Iowa,67,81,
Quinnipiac,Mount St. Mary's,58,51,
Fairfield,St. Peter's,56,52,
Memphis,Temple,61,59,
Purdue,Michigan State,64,63,
Syracuse,Miami (FL),78,82,
William & Mary,College of Charleston,54,82,
Florida Atlantic,Western Kentucky,76,62,
Alabama State,Alabama A&M,69,61,
Arkansas-Pine Bluff,Bethune-Cookman,77,71,
UTEP,Charlotte,60,58,
Mississippi Valley State,Florida A&M,59,60,
North Texas,Florida International,64,57,
North Carolina A&T,Hampton,79,67,
Morehouse,Howard,65,89,
St. Joseph's,La Salle,71,59,
FDU,Stonehill,65,57,
Brown,Yale,78,81,
UAB,Middle Tennessee,73,74,
Jackson State,Texas Southern,82,84,
UC-Davis,UC-San Diego,78,70,
Montana,Eastern Washington,57,64,
Hofstra,Towson,47,68,
Georgetown,Villanova,73,77,
Cornell,Columbia,102,85,
Dartmouth,Harvard,60,59,
Saint Francis (PA),Sacred Heart,51,54,
George Washington,George Mason,78,75,
Hartford,UMBC,62,87,
Illinois,Minnesota,78,60,
Delaware,Northeastern,58,59,
Cleveland State,Purdue Fort Wayne,72,60,
St. Francis (NY),LIU,73,66,
Lehigh,Loyola (MD),74,70,
Wagner,Merrimack,62,57,
Elon,UNC Wilmington,54,62,
Princeton,Penn,72,60,
Cal Poly,UC-Riverside,78,83,
Alcorn State,Prairie View,77,68,
Rice,UTSA,88,81,
UCSB,UC-Irvine,73,65,
Montana State,Idaho,70,74,
Cal State Bakersfield,Cal State Fullerton,46,76,
Cal State Northridge,Hawaii,51,58,
Houston,Tulane,80,60,
Kansas,Kansas State,82,83,
Alabama,Vanderbilt,78,66,
Texas,Iowa State,67,78,
Tennessee,Mississippi State,70,59,
Clemson,Wake Forest,77,87,
Baylor,Texas Tech,81,74,
Bowling Green State,Buffalo,71,100,
Akron,Central Michigan,69,51,
Northern Illinois,Miami (OH),81,77,
UMass,VCU,55,83,
Evansville,Southern Illinois,70,77,
UIC,Valparaiso,66,76,
Nevada,Boise State,62,77,
UNLV,Utah State,71,75,
Ole Miss,South Carolina,70,58,
Western Michigan,Ball State,70,71,
Creighton,Butler,73,52,
Davidson,Dayton,61,68,
Kent State,Eastern Michigan,77,63,
NC State,Georgia Tech,78,66,
Boston College,UNC,64,72,
Florida State,Notre Dame,84,71,
Rhode Island,Richmond,57,64,
Ohio,Toledo,75,90,
Penn State,Wisconsin,60,63,
Wyoming,Air Force,74,82,
Murray State,Belmont,65,80,
Georgia,Kentucky,71,85,
San Jose State,New Mexico,57,77,
Xavier,DePaul,72,73,
Virginia Tech,Virginia,68,78,
TCU,West Virginia,65,74,
UConn,Seton Hall,66,67,
Auburn,LSU,67,49,
Providence,Marquette,75,83,
Arkansas,Missouri,76,79,
Furman,Chattanooga,77,69,
Colgate,Holy Cross,77,71,
Gardner-Webb,Longwood,59,64,
Missouri State,Drake,65,62,
Saint Louis,Loyola (IL),76,59,
Bucknell,Army,68,66,
Hartford,Morgan State,84,92,
Lafayette,American,70,59,
Radford,Campbell,63,55,
UNC Asheville,Charleston Southern,73,63,
Samford,ETSU,69,59,
Winthrop,High Point,66,71,
Bradley,Indiana State,78,67,
Pitt,Louisville,75,54,
Boston University,Navy,45,63,
Ohio State,Nebraska,60,63,
Presbyterian,USC Upstate,60,61,
Cincinnati,South Florida,85,69,
Duquesne,St. Bonaventure,56,65,
East Carolina,Temple,58,73,
Florida,Texas A&M,52,54,
Wofford,Western Carolina,71,76,
North Alabama,Central Arkansas,78,73,
Illinois State,Northern Iowa,63,65,
SMU,Tulsa,79,76,
Abilene Christian,Utah Valley,54,84,
Utah Tech,Grand Canyon,85,89,
Oklahoma,Oklahoma State,56,72,
Oregon,California,87,58,
San Diego State,Colorado State,82,76,
UMBC,UMass-Lowell,75,81,
Purdue,Minnesota,61,39,
UCLA,Arizona State,74,62,
Loyola Marymount,Gonzaga,68,67,
USC,Arizona,66,81,
College of Charleston,Monmouth,69,55,
Rutgers,Michigan State,57,70,
Florida Atlantic,UTSA,83,64,
Binghamton,Albany (NY),65,54,
Towson,North Carolina A&T,79,67,
Cleveland State,Northern Kentucky,56,57,
Charlotte,Middle Tennessee,58,62,
Rice,North Texas,72,60,
New Mexico State,Southern Utah,76,111,
Cal State Northridge,UCSB,52,72,
Saint Mary's,Pepperdine,73,44,
San Diego,Portland,83,88,
Pacific,San Francisco,57,78,
BYU,Santa Clara,76,83,
Tarleton State,Seattle,47,67,
Oregon State,Stanford,46,67,
NJIT,Bryant,75,87,
Appalachian State,Coastal Carolina,84,93,
William & Mary,Delaware,53,80,
Hampton,Drexel,73,79,
Jacksonville State,Florida Gulf Coast,51,55,
Louisiana-Monroe,Georgia Southern,72,59,
UNC Wilmington,Hofstra,46,70,
Oakland,IUPUI,83,77,
Liberty,Jacksonville,66,52,
Michigan,Maryland,58,64,
Wichita State,Memphis,78,88,
The Citadel,UNC Greensboro,60,70,
Queens (NC),North Florida,90,95,
Georgia State,Old Dominion,58,70,
Stephen F. Austin,Sam Houston,71,76,
Kennesaw State,Stetson,82,81,
Northeastern,Stony Brook,79,66,
James Madison,Troy,89,87,
Maine,Vermont,45,66,
Mercer,VMI,69,61,
Purdue Fort Wayne,Wright State,88,80,
Tennessee Tech,Little Rock,77,75,
Louisiana,Arkansas State,80,71,
Bellarmine,Austin Peay,56,45,
Youngstown State,Green Bay,86,70,
Incarnate Word,Houston Christian,89,78,
Indiana,Illinois,80,65,
Texas A&M-Corpus Christi,Lamar,66,68,
Southern Indiana,Lindenwood,81,65,
Eastern Kentucky,Lipscomb,62,75,
Robert Morris,Milwaukee,69,77,
Texas A&M-Commerce,New Orleans,63,58,
McNeese State,Nicholls State,64,73,
Kansas City,North Dakota,60,77,
Oral Roberts,North Dakota State,92,69,
Idaho,Northern Arizona,88,83,
Eastern Washington,Northern Colorado,83,75,
Denver,South Dakota,75,60,
Omaha,South Dakota State,61,84,
UT-Martin,Southeast Missouri State,80,60,
Northwestern State,Southeastern Louisiana,91,81,
Morehead State,SIU-Edwardsville,67,58,
South Alabama,Southern Miss,72,76,
Texas-Rio Grande Valley,UT Arlington,73,85,
Marshall,Texas State,81,73,
UC-Riverside,UC-Davis,74,72,
Washington,Colorado,75,72,
Sacramento State,Idaho State,61,65,
Western Kentucky,Louisiana Tech,74,85,
Eastern Illinois,Tennessee State,74,78,
Florida International,UTEP,61,81,
Washington State,Utah,63,77,
Portland State,Weber State,68,84,
UC-San Diego,Cal Poly,71,64,
Hawaii,UC-Irvine,68,76,
Cal State Fullerton,Long Beach State,67,72,
Sacred Heart,FDU,92,85,
Iona,Manhattan,84,76,
VCU,Richmond,74,62,
Canisius,Fairfield,58,67,
Stonehill,LIU,73,66,
St. Peter's,Marist,61,57,
Niagara,Rider,62,65,
St. Francis (NY),Saint Francis (PA),61,87,
Mount St. Mary's,Siena,57,72,
Villanova,St. John's (NY),57,49,
Central Connecticut,Wagner,50,72,
Boise State,New Mexico,79,81,
Ball State,Kent State,65,86,
Toledo,Buffalo,86,77,
TCU,Kansas,83,60,
Alabama,Missouri,85,64,
UCLA,Arizona,52,58,
Gonzaga,Pacific,99,90,
Texas,West Virginia,69,61,
Georgetown,Xavier,82,95,
Tennessee,LSU,77,56,
Virginia,Wake Forest,76,67,
Iowa State,Oklahoma State,59,61,
Texas Tech,Kansas State,58,68,
Auburn,South Carolina,81,66,
Miami (FL),Duke,66,68,
College of Charleston,Northeastern,87,61,
Virginia Tech,Clemson,50,51,
Marquette,Seton Hall,74,53,
Baylor,Oklahoma,62,60,
DePaul,Providence,64,75,
Florida Atlantic,UTEP,67,59,
Ole Miss,Arkansas,57,69,
Navy,Army,77,71,
Holy Cross,Bucknell,80,73,
ETSU,Chattanooga,78,62,
American,Colgate,61,62,
Delaware,Drexel,74,77,
Northern Illinois,Eastern Michigan,88,67,
Purdue Fort Wayne,Northern Kentucky,54,74,
Central Michigan,Ohio,68,96,
Iowa,Ohio State,77,93,
UMass,St. Joseph's,68,74,
Gardner-Webb,Winthrop,63,61,
Penn,Yale,63,70,
Texas Southern,Alabama A&M,70,59,
North Texas,UAB,63,52,
Florida A&M,Alcorn State,47,57,
Southern,Arkansas-Pine Bluff,55,62,
Belmont,Bradley,78,76,
Drake,Evansville,97,61,
Northern Iowa,UIC,78,72,
Valparaiso,Illinois State,71,51,
Bethune-Cookman,Jackson State,66,70,
St. Bonaventure,Loyola (IL),55,67,
Grambling,Mississippi Valley State,65,61,
Southern Illinois,Missouri State,61,57,
Indiana State,Murray State,73,82,
Charlotte,Western Kentucky,75,71,
Portland State,Idaho State,72,65,
San Jose State,Utah State,74,75,
Colorado State,Wyoming,57,58,
Tarleton State,California Baptist,48,77,
Cal Poly,UC-Davis,63,65,
Pepperdine,Portland,76,91,
Santa Clara,Saint Mary's,58,77,
BYU,San Francisco,74,82,
Oregon,Stanford,64,71,
Dayton,George Washington,69,76,
Syracuse,Georgia Tech,80,63,
Detroit Mercy,IUPUI,89,77,
George Mason,Rhode Island,79,72,
UCF,South Florida,72,85,
Loyola (MD),Boston University,53,66,
Vanderbilt,Georgia,85,82,
UNC Wilmington,Stony Brook,62,51,
The Citadel,VMI,60,52,
Columbia,Brown,85,97,
South Alabama,Coastal Carolina,81,85,
Fordham,Duquesne,65,58,
Cornell,Harvard,89,95,
Texas A&M,Kentucky,67,76,
Hampton,Monmouth,83,66,
USC Upstate,UNC Asheville,58,64,
Oral Roberts,North Dakota,84,72,
Kansas City,North Dakota State,75,73,
Liberty,North Florida,73,62,
Boston College,Notre Dame,84,72,
Nebraska,Penn State,65,76,
Longwood,Presbyterian,58,56,
Dartmouth,Princeton,90,93,
High Point,Radford,80,95,
La Salle,Saint Louis,71,84,
Omaha,South Dakota,68,84,
Jacksonville State,Stetson,81,87,
Akron,Western Michigan,63,55,
North Carolina A&T,William & Mary,90,86,
Marshall,Arkansas State,87,78,
Georgia State,Georgia Southern,52,58,
Florida State,Pitt,71,64,
Western Carolina,Samford,65,74,
Denver,South Dakota State,61,76,
James Madison,Southern Miss,70,83,
St. Thomas,Western Illinois,56,60,
Tennessee State,Little Rock,77,89,
Eastern Kentucky,Austin Peay,74,59,
Norfolk State,Coppin State,96,65,
Towson,Elon,66,62,
Morgan State,Howard,56,88,
Queens (NC),Jacksonville,70,77,
Morehead State,Lindenwood,72,63,
Nicholls State,McNeese State,71,68,
Delaware State,North Carolina Central,55,74,
Mercer,UNC Greensboro,48,59,
Eastern Washington,Northern Arizona,79,76,
Maryland-Eastern Shore,South Carolina State,76,70,
Texas A&M-Commerce,Southeastern Louisiana,73,79,
Southern Indiana,SIU-Edwardsville,82,72,
Eastern Illinois,UT-Martin,78,91,
Florida International,UTSA,77,72,
Miami (OH),Bowling Green State,73,83,
Campbell,Charleston Southern,78,76,
Bellarmine,Lipscomb,49,69,
Middle Tennessee,Louisiana Tech,68,51,
Northwestern State,New Orleans,88,65,
NC State,UNC,69,80,
Texas-Rio Grande Valley,Sam Houston,64,83,
Tennessee Tech,Southeast Missouri State,77,84,
Louisiana,Texas State,60,51,
Louisiana-Monroe,Troy,53,77,
Prairie View,Alabama State,55,56,
UNLV,Fresno State,63,76,
Southern Utah,Seattle,60,81,
UT Arlington,Abilene Christian,68,84,
Kennesaw State,Florida Gulf Coast,65,63,
Incarnate Word,Lamar,70,64,
Lafayette,Lehigh,49,61,
Youngstown State,Milwaukee,75,88,
Appalachian State,Old Dominion,72,58,
Cleveland State,Wright State,85,77,
Hawaii,UC-Riverside,67,63,
Utah Valley,Grand Canyon,76,74,
Robert Morris,Green Bay,72,38,
Texas A&M-Corpus Christi,Houston Christian,78,90,
Florida,Mississippi State,61,59,
Central Arkansas,North Alabama,66,82,
Idaho,Northern Colorado,67,73,
Tulane,Tulsa,79,81,
Washington,Utah,61,86,
New Mexico State,Utah Tech,76,89,
Montana State,Montana,67,64,
Sacramento State,Weber State,48,50,
San Diego State,Air Force,70,60,
USC,Arizona State,77,69,
Cal State Fullerton,Cal State Northridge,66,69,
Long Beach State,UC-San Diego,112,110,
Cal State Bakersfield,UCSB,58,76,
New Hampshire,UMBC,69,80,
Temple,Houston,56,55,
Maryland,Purdue,55,58,
Butler,UConn,56,86,
Furman,Wofford,96,82,
Stonehill,FDU,70,59,
Bryant,UMass-Lowell,79,98,
Minnesota,Michigan,56,60,
Merrimack,St. Francis (NY),63,55,
Central Connecticut,LIU,58,42,
Memphis,Cincinnati,75,68,
Michigan State,Indiana,69,82,
NJIT,Vermont,69,85,
Sacred Heart,Wagner,58,68,
Binghamton,Maine,57,78,
Marist,Mount St. Mary's,55,59,
Canisius,Quinnipiac,82,87,
Manhattan,Rider,65,67,
Niagara,St. Peter's,59,57,
Fairfield,Siena,62,52,
Oregon State,California,68,48,
Wichita State,SMU,71,69,
Washington State,Colorado,55,58,
Kansas,Baylor,69,75,
New Mexico,Nevada,94,97,
North Dakota,Western Illinois,80,92,
Wisconsin,Northwestern,63,66,
Texas Southern,Alabama State,71,65,
Grambling,Arkansas-Pine Bluff,77,70,
Florida A&M,Jackson State,58,59,
Southern,Mississippi Valley State,84,70,
Colgate,Boston University,64,51,
Chicago State,Coastal Carolina,74,70,
Oakland,Detroit Mercy,76,67,
Penn,Hartford,76,52,
Coppin State,Howard,76,90,
Norfolk State,Morgan State,71,77,
Maryland-Eastern Shore,North Carolina Central,59,58,
Delaware State,South Carolina State,88,85,
Duke,Virginia Tech,75,78,
Prairie View,Alabama A&M,59,67,
Bethune-Cookman,Alcorn State,68,76,
Kansas State,Iowa State,76,80,
Oklahoma State,Texas,75,89,
Oklahoma,TCU,52,79,
Miami (FL),Florida State,86,63,
Georgia Tech,Clemson,51,72,
Miami (OH),Akron,68,73,
Bowling Green State,Central Michigan,83,61,
Western Michigan,Ohio,76,88,
Indiana State,Drake,68,70,
UIC,Missouri State,59,63,
Kent State,Northern Illinois,76,86,
Murray State,Southern Illinois,64,68,
Fresno State,Boise State,53,63,
Penn State,Rutgers,45,65,
LSU,Arkansas,40,60,
Buffalo,Ball State,91,65,
Tulsa,East Carolina,66,76,
DePaul,Georgetown,76,81,
Ohio State,Illinois,60,69,
Davidson,La Salle,64,57,
Missouri,Ole Miss,89,77,
Notre Dame,NC State,82,85,
Eastern Michigan,Toledo,79,84,
UNC,Syracuse,72,68,
Kentucky,Vanderbilt,69,53,
Air Force,San Jose State,52,82,
Wyoming,UNLV,72,86,
Mississippi State,Alabama,63,66,
Houston,UCF,82,71,
Georgia,Tennessee,41,70,
Xavier,UConn,82,79,
Texas A&M,Auburn,79,63,
Butler,Providence,58,79,
Northwestern,Nebraska,78,63,
Wofford,Chattanooga,85,80,
Lehigh,Holy Cross,74,68,
Loyola (MD),Lafayette,46,62,
ETSU,Mercer,67,71,
Fordham,St. Bonaventure,79,68,
George Mason,VCU,52,72,
Charleston Southern,Winthrop,64,76,
Belmont,Evansville,73,64,
Chicago State,Stanford,65,72,
Richmond,UMass,76,85,
Presbyterian,UNC Asheville,80,88,
Army,American,61,63,
Vermont,Binghamton,80,55,
Navy,Bucknell,63,46,
Loyola (IL),Duquesne,58,72,
South Carolina,Florida,60,81,
Samford,Furman,84,91,
USC Upstate,Gardner-Webb,66,78,
St. Joseph's,George Washington,91,92,
Stonehill,Hartford,56,73,
Campbell,High Point,72,64,
IUPUI,Purdue Fort Wayne,75,81,
UMass-Lowell,Maine,70,75,
Wisconsin,Maryland,55,73,
Albany (NY),New Hampshire,65,84,
UMBC,NJIT,65,69,
VMI,UNC Greensboro,50,62,
Wake Forest,Pitt,79,81,
Dayton,Rhode Island,70,75,
Texas-Rio Grande Valley,Stephen F. Austin,66,83,
South Florida,Temple,76,79,
West Virginia,Texas Tech,76,61,
The Citadel,Western Carolina,81,70,
Illinois State,Bradley,75,79,
Valparaiso,Northern Iowa,66,77,
California Baptist,UT Arlington,74,66,
Louisville,Boston College,65,75,
St. John's (NY),Creighton,76,104,
Indiana,Minnesota,61,57,
Tulane,Wichita State,95,90,
Utah State,San Diego State,75,85,
Purdue,Michigan,75,70,
Arizona,Washington State,63,58,
UCLA,USC,64,77,
Middle Tennessee,Florida Atlantic,67,85,
Longwood,Radford,59,63,
Saint Francis (PA),FDU,82,87,
Western Kentucky,Florida International,69,78,
Delaware,Hampton,66,67,
Coastal Carolina,James Madison,69,75,
Louisiana-Monroe,Marshall,86,82,
Drexel,North Carolina A&T,55,68,
Green Bay,Northern Kentucky,50,68,
Louisiana Tech,UAB,59,65,
Lipscomb,Jacksonville State,67,72,
UTSA,North Texas,59,63,
Charlotte,Rice,63,65,
Utah Tech,Tarleton State,72,74,
Utah Valley,Southern Utah,67,79,
UC-Irvine,Cal State Fullerton,61,62,
Idaho State,Eastern Washington,68,81,
Portland,Loyola Marymount,60,79,
Utah,Oregon State,63,44,
San Diego,Pepperdine,87,78,
St. Francis (NY),Wagner,65,56,
Georgia State,Appalachian State,59,71,
Eastern Kentucky,Bellarmine,71,72,
Merrimack,Central Connecticut,64,61,
Hofstra,Elon,82,65,
Austin Peay,Kennesaw State,57,84,
Stetson,Liberty,45,74,
SMU,Memphis,84,99,
Iowa,Michigan State,61,63,
Little Rock,Morehead State,72,76,
Fairfield,Mount St. Mary's,63,60,
Jacksonville,North Alabama,62,80,
Monmouth,UNC Wilmington,49,52,
Florida Gulf Coast,Queens (NC),82,84,
LIU,Sacred Heart,74,70,
Northeastern,Towson,63,72,
South Dakota,Western Illinois,72,75,
Stony Brook,William & Mary,74,77,
Milwaukee,Wright State,86,93,
Grand Canyon,Abilene Christian,75,73,
North Florida,Central Arkansas,85,88,
McNeese State,Incarnate Word,65,70,
Texas A&M-Commerce,Lamar,62,57,
Troy,Louisiana,57,72,
Omaha,Kansas City,61,64,
Denver,Oral Roberts,61,102,
Seattle,Sam Houston,40,55,
Old Dominion,South Alabama,66,64,
Tennessee State,Southeast Missouri State,75,92,
New Orleans,Southeastern Louisiana,87,92,
Eastern Illinois,Southern Indiana,74,78,
Arkansas State,Southern Miss,57,73,
South Dakota State,St. Thomas,54,60,
SIU-Edwardsville,Tennessee Tech,68,80,
Nicholls State,Texas A&M-Corpus Christi,86,96,
Georgia Southern,Texas State,67,70,
Weber State,Idaho,73,65,
Houston Christian,Northwestern State,63,82,
Colorado,Oregon,69,75,
Lindenwood,UT-Martin,59,66,
Long Beach State,Cal Poly,70,52,
UC-Davis,Cal State Bakersfield,79,58,
UC-San Diego,Cal State Northridge,65,57,
Montana State,Portland State,75,66,
Montana,Sacramento State,48,67,
Arizona State,Washington,66,69,
Air Force,New Mexico,73,81,
UCSB,Hawaii,65,64,
Purdue Fort Wayne,Cleveland State,74,79,
