School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Jackson State,33,-11.36,-5.39,2232,2429,1338,853,1881,.453,259,741,.350,464,637,.728,311,1086,446,262,140,448,545,800,1911,.419,207,650,.318,425,630,.675,384,1137,406,248,82,514,571
Jacksonville,29,-6.19,-2.54,1837,1816,1160,642,1576,.407,241,765,.315,291,399,.729,247,901,352,171,81,277,365,686,1519,.452,200,588,.340,265,353,.751,220,968,376,148,69,333,409
Jacksonville State,31,-6.67,-2.60,2166,2178,1245,762,1749,.436,287,828,.347,367,496,.740,265,994,432,190,75,357,530,747,1705,.438,281,747,.376,391,559,.699,318,1117,381,172,74,410,510
James Madison,33,4.96,-2.31,2658,2246,1340,811,1920,.422,226,729,.310,398,590,.675,322,1128,383,238,104,546,645,933,2019,.462,263,751,.350,529,748,.707,393,1257,444,298,87,435,583
Kansas,36,19.20,11.84,2715,2450,1450,873,2103,.415,230,742,.310,474,654,.725,379,1255,406,220,101,515,577,1002,2142,.468,251,724,.347,460,639,.720,353,1294,590,317,139,444,597
Kansas City,32,-9.78,-3.28,2060,2199,1295,734,1730,.424,239,697,.343,492,662,.743,317,1065,349,196,102,380,524,723,1844,.392,188,665,.283,426,598,.712,430,1183,300,192,117,432,585
Kansas State,36,15.79,9.48,2742,2515,1465,878,2070,.424,235,764,.308,524,751,.698,388,1221,493,259,140,541,659,961,2083,.461,258,752,.343,562,751,.748,355,1247,611,289,100,498,644
Kennesaw State,35,0.60,-2.06,2626,2415,1415,842,1957,.430,251,758,.331,480,698,.688,315,1188,399,231,106,502,675,931,2021,.461,286,783,.365,478,723,.661,337,1234,502,276,96,434,631
Kent State,35,7.53,-1.22,2665,2305,1405,777,1920,.405,242,778,.311,509,706,.721,365,1223,397,188,101,551,645,957,2128,.450,275,818,.336,476,656,.726,386,1249,432,309,138,398,659
Kentucky,34,14.76,8.08,2532,2305,1370,827,1929,.429,222,685,.324,429,577,.744,290,1022,399,205,75,379,580,929,2045,.454,213,613,.347,461,653,.706,472,1339,512,219,125,400,545
